Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2014,1.58%,1.13%,1.51%,1.95%,2.13%,2.07%,1.99%,1.70%,1.66%,1.66%,1.32%,0.76%
2013,1.60%,1.98%,1.47%,1.06%,1.36%,1.75%,1.96%,1.52%,1.19%,0.96%,1.24%,1.50%
2012,2.93%,2.87%,2.65%,2.30%,1.70%,1.66%,1.41%,1.69%,1.99%,2.16%,1.76%,1.74%
2011,1.63%,2.11%,2.68%,3.16%,3.57%,3.56%,3.63%,3.77%,3.87%,3.53%,3.39%,2.96%
2010,2.63%,2.14%,2.31%,2.24%,2.02%,1.05%,1.24%,1.15%,1.14%,1.17%,1.14%,1.50%
2009,0.03%,0.24%,-0.38%,-0.74%,-1.28%,-1.43%,-2.10%,-1.48%,-1.29%,-0.18%,1.84%,2.72%
2008,4.28%,4.03%,3.98%,3.94%,4.18%,5.02%,5.60%,5.37%,4.94%,3.66%,1.07%,0.09%
2007,2.08%,2.42%,2.78%,2.57%,2.69%,2.69%,2.36%,1.97%,2.76%,3.54%,4.31%,4.08%
2006,3.99%,3.60%,3.36%,3.55%,4.17%,4.32%,4.15%,3.82%,2.06%,1.31%,1.97%,2.54%
2005,2.97%,3.01%,3.15%,3.51%,2.80%,2.53%,3.17%,3.64%,4.69%,4.35%,3.46%,3.42%
2004,1.93%,1.69%,1.74%,2.29%,3.05%,3.27%,2.99%,2.65%,2.54%,3.19%,3.52%,3.26%
2003,2.60%,2.98%,3.02%,2.23%,2.06%,2.11%,2.11%,2.16%,2.32%,2.04%,1.77%,1.88%
2002,1.14%,1.14%,1.48%,1.64%,1.18%,1.07%,1.47%,1.80%,1.51%,2.03%,2.20%,2.38%
2001,3.73%,3.53%,2.92%,3.27%,3.62%,3.25%,2.72%,2.72%,2.65%,2.13%,1.90%,1.55%
2000,2.74%,3.22%,3.76%,3.07%,3.19%,3.73%,3.66%,3.41%,3.45%,3.45%,3.45%,3.39%
1999,1.67%,1.61%,1.73%,2.28%,2.09%,1.96%,2.15%,2.26%,2.63%,2.56%,2.62%,2.69%
1998,1.57%,1.44%,1.38%,1.44%,1.69%,1.68%,1.68%,1.62%,1.49%,1.49%,1.55%,1.61%
1997,3.04%,3.03%,2.76%,2.50%,2.24%,2.30%,2.23%,2.23%,2.16%,2.09%,1.83%,1.70%
1996,2.73%,2.65%,2.84%,2.90%,2.89%,2.75%,2.95%,2.88%,3.00%,2.99%,3.26%,3.32%
1995,2.80%,2.86%,2.85%,3.05%,3.19%,3.04%,2.76%,2.62%,2.54%,2.81%,2.61%,2.54%
1994,2.53%,2.52%,2.51%,2.36%,2.29%,2.49%,2.77%,2.90%,2.96%,2.61%,2.68%,2.68%
1993,3.26%,3.25%,3.09%,3.23%,3.22%,3.00%,2.78%,2.77%,2.69%,2.75%,2.68%,2.75%
1992,2.60%,2.82%,3.19%,3.18%,3.02%,3.09%,3.16%,3.15%,2.99%,3.20%,3.05%,2.90%
1991,5.65%,5.31%,4.90%,4.89%,4.95%,4.70%,4.45%,3.80%,3.39%,2.92%,2.99%,3.06%
1990,5.20%,5.26%,5.23%,4.71%,4.36%,4.67%,4.82%,5.62%,6.16%,6.29%,6.28%,6.11%
1989,4.67%,4.83%,4.98%,5.12%,5.36%,5.17%,4.98%,4.71%,4.34%,4.49%,4.66%,4.65%
1988,4.05%,3.94%,3.93%,3.90%,3.89%,3.97%,4.13%,4.02%,4.17%,4.25%,4.25%,4.42%
1987,1.46%,2.10%,3.03%,3.78%,3.86%,3.65%,3.93%,4.28%,4.36%,4.53%,4.53%,4.43%
1986,3.89%,3.11%,2.26%,1.59%,1.49%,1.77%,1.58%,1.57%,1.75%,1.47%,1.28%,1.10%
1985,3.53%,3.52%,3.70%,3.69%,3.77%,3.76%,3.55%,3.35%,3.14%,3.23%,3.51%,3.80%
1984,4.19%,4.60%,4.80%,4.56%,4.23%,4.22%,4.20%,4.29%,4.27%,4.26%,4.05%,3.95%
