inflation,ApprovalFY
1.45797598627786,1960
1.07072414764723,1961
1.19877334820185,1962
1.2396694214876,1963
1.27891156462583,1964
1.58516926383669,1965
3.01507537688439,1966
2.77278562259307,1967
4.27179615288534,1968
5.4623862002875,1969
5.83825533848253,1970
4.29276668813045,1971
3.27227824655283,1972
6.17776006377041,1973
11.0548048048048,1974
9.14314686496534,1975
5.74481263549085,1976
6.50168399472839,1977
7.63096383885602,1978
11.2544711292795,1979
13.5492019749684,1980
10.3347153402771,1981
6.13142700027494,1982
3.21243523316063,1983
4.30053547523427,1984
3.54564415209369,1985
1.89804772234275,1986
3.66456321751691,1987
4.07774110744408,1988
4.82700303008949,1989
5.39795643990322,1990
4.23496396453853,1991
3.0288196781497,1992
2.95165696638554,1993
2.6074415921546,1994
2.80541968853655,1995
2.9312041999344,1996
2.33768993730741,1997
1.55227909874362,1998
2.18802719697358,1999
3.37685727149935,2000
2.82617111885402,2001
1.58603162650603,2002
2.27009497336113,2003
2.67723669309173,2004
3.39274684549547,2005
3.22594410070407,2006
2.85267248150136,2007
3.83910029665101,2008
-0.35554626629975,2009
1.64004344238989,2010
3.15684156862206,2011
2.06933726526059,2012
1.46483265562714,2013
1.62222297740821,2014
0.118627135552435,2015
1.26158320570537,2016
2.13011000365963,2017
2.44258329692818,2018
1.81221007526015,2019
1.23358439630637,2020
