ApprovalFY,Factored Mean Income,State
2018,0.790389211605122,AL
2017,0.8328390797106172,AL
2016,0.7998272328460848,AL
2015,0.7875468893764598,AL
2014,0.7879307452895242,AL
2013,0.8830829523187459,AL
2012,0.8519513103475312,AL
2011,0.8508810484676549,AL
2010,0.8306883675623021,AL
2009,0.8031821925789019,AL
2008,0.8841619784108303,AL
2007,0.8403240897418032,AL
2006,0.7873695566482023,AL
2005,0.8019254846090749,AL
2004,0.8262056209681058,AL
2003,0.8600350893393047,AL
2002,0.8866749982315074,AL
2001,0.8326229042341574,AL
2000,0.8436294355799,AL
1999,0.8907755061922548,AL
1998,0.9326475504693327,AL
1997,0.8630995811376841,AL
1996,0.8537698636312409,AL
1995,0.7627362366474938,AL
1994,0.84292090255393,AL
1993,0.8028552223040235,AL
1992,0.8424076250163207,AL
1991,0.80813914890792,AL
1990,0.7800487593093545,AL
1989,0.7363177195046011,AL
1988,0.7327089072543618,AL
1987,0.7572234373201335,AL
1986,0.7684459975097401,AL
1985,0.7762299940723177,AL
1984,0.7722507249609636,AL
2018,1.087924785134301,AK
2017,1.1769373655738773,AK
2016,1.2825928623452294,AK
2015,1.3290395640172694,AK
2014,1.2603947294854352,AK
2013,1.3524680414295045,AK
2012,1.2475841386204598,AK
2011,1.1473808287049987,AK
2010,1.173958925237438,AK
2009,1.2375996946380858,AK
2008,1.2720712482356917,AK
2007,1.2540162841160194,AK
2006,1.1704736416256925,AK
2005,1.20647152786772,AK
2004,1.2420038796409076,AK
2003,1.1966618957477262,AK
2002,1.2444056686080784,AK
2001,1.3584114805342427,AK
2000,1.2585615622767325,AK
1999,1.2629251032042461,AK
1998,1.3036389353221036,AK
1997,1.296959870287799,AK
1996,1.4870675081708553,AK
1995,1.4072661110458975,AK
1994,1.4061182742375402,AK
1993,1.3741877660766302,AK
1992,1.364473168820995,AK
1991,1.348071433313417,AK
1990,1.3124269445279364,AK
1989,1.2456237459351,AK
1988,1.2159044995408632,AK
1987,1.2752004911553663,AK
1986,1.259428846849018,AK
1985,1.4726903209416546,AK
1984,1.443497657818425,AK
2018,0.985818072460786,AZ
2017,0.9959753633578831,AZ
2016,0.9671573027998441,AZ
2015,0.924481562743294,AZ
2014,0.9179417410589485,AZ
2013,0.9818232714379024,AZ
2012,0.9221239978830585,AZ
2011,0.9713709194070403,AZ
2010,0.9517006250507346,AZ
2009,0.9188781967575386,AZ
2008,0.9326282726676342,AZ
2007,0.939919972926164,AZ
2006,0.9679674695545736,AZ
2005,0.9766653714976471,AZ
2004,0.9889926467271168,AZ
2003,0.9503208827739046,AZ
2002,0.9369237661817067,AZ
2001,1.0112721417069244,AZ
2000,0.9474398666349131,AZ
1999,0.909057401218793,AZ
1998,0.9538382409669538,AZ
1997,0.8847453046885556,AZ
1996,0.8913839738532627,AZ
1995,0.9057107641741988,AZ
1994,0.969904537565088,AZ
1993,0.976601261163215,AZ
1992,0.9582843713278496,AZ
1991,1.020281484432052,AZ
1990,0.9759877099822997,AZ
1989,0.9877534075970387,AZ
1988,0.9709825528007346,AZ
1987,1.0263996009362648,AZ
1986,1.0242197855163273,AZ
1985,1.0109662122110255,AZ
1984,0.9558331474459068,AZ
2018,0.787935864765191,AR
2017,0.7956234113276413,AR
2016,0.777570758312302,AR
2015,0.7572722768773444,AR
2014,0.8372067018282796,AR
2013,0.7348325090976953,AR
2012,0.7648038888997785,AR
2011,0.8251488392536062,AR
2010,0.7830789836837405,AR
2009,0.7340337907065512,AR
2008,0.786951076476552,AR
2007,0.8121155415762547,AR
2006,0.768801477147777,AR
2005,0.791305098648707,AR
2004,0.7891009157757026,AR
2003,0.7387691029133385,AR
2002,0.7636822372609587,AR
2001,0.7894998579141802,AR
2000,0.7072398190045249,AR
1999,0.729359150776489,AR
1998,0.7114568599717115,AR
1997,0.7069855424942575,AR
1996,0.7642003831849431,AR
1995,0.7575419650193684,AR
1994,0.7923692040664517,AR
1993,0.7374603885919144,AR
1992,0.7795404099751926,AR
1991,0.7778994888136493,AR
